Group numbers,Specimen material,Test type
"","",""

Results Table 1
,Group numbers,Specimen material,Test type
"2","17","ethefoam","compression"

Results Table 2



Time,Displacement,Force
(s),(mm),(N)
"0.00000","0.00000","-0.10035"
"0.10000","0.00171","-0.08357"
"0.20000","0.00611","0.14915"
"0.30000","0.01029","0.22374"
"0.40000","0.01334","0.20074"
"0.50000","0.01645","0.30953"
"0.60000","0.02041","0.30134"
"0.70000","0.02336","0.32491"
"0.80000","0.02646","0.39472"
"0.90000","0.03037","0.37900"
"1.00000","0.03337","0.58549"
"1.10000","0.03643","0.49299"
"1.20000","0.04039","0.70039"
"1.30000","0.04339","0.62620"
"1.40000","0.04645","0.79173"
"1.50000","0.05041","0.66904"
"1.60000","0.05336","0.88795"
"1.70000","0.05646","1.08356"
"1.80000","0.06037","1.16258"
"1.90000","0.06338","0.99558"
"2.00000","0.06648","0.97544"
"2.10000","0.07034","1.09875"
"2.20000","0.07334","1.01840"
"2.30000","0.07650","1.18524"
"2.40000","0.08030","1.27783"
"2.50000","0.08336","1.27671"
"2.60000","0.08652","1.29693"
"2.70000","0.09021","1.57864"
"2.80000","0.09337","1.40195"
"2.90000","0.09659","1.48421"
"3.00000","0.10018","1.48522"
"3.10000","0.10339","1.49083"
"3.20000","0.10661","1.52014"
"3.30000","0.11009","1.63167"
"3.40000","0.11341","1.63330"
"3.50000","0.11668","1.71776"
"3.60000","0.12005","1.81475"
"3.70000","0.12343","1.75712"
"3.80000","0.12664","1.69304"
"3.90000","0.12996","1.70884"
"4.00000","0.13345","2.03189"
"4.10000","0.13666","2.12463"
"4.20000","0.13993","1.96902"
"4.30000","0.14352","2.17781"
"4.40000","0.14668","2.21756"
"4.50000","0.14989","2.14288"
"4.60000","0.15359","2.42894"
"4.70000","0.15670","2.19235"
"4.80000","0.15986","2.25262"
"4.90000","0.16361","2.44893"
"5.00000","0.16671","2.60140"
"5.10000","0.16982","2.55275"
"5.20000","0.17362","2.66613"
"5.30000","0.17673","2.44867"
"5.40000","0.17979","2.59670"
"5.50000","0.18370","2.66466"
"5.60000","0.18675","2.69087"
"5.70000","0.18975","2.83424"
"5.80000","0.19371","2.78306"
"5.90000","0.19671","2.65365"
"6.00000","0.19971","2.91466"
"6.10000","0.20373","2.98825"
"6.20000","0.20673","2.92267"
"6.30000","0.20973","3.17540"
"6.40000","0.21375","3.00494"
"6.50000","0.21670","2.89664"
"6.60000","0.21975","3.10185"
"6.70000","0.22371","3.15662"
"6.80000","0.22666","3.08043"
"6.90000","0.22982","3.20663"
"7.00000","0.23368","3.33533"
"7.10000","0.23668","3.37071"
"7.20000","0.23989","3.41631"
"7.30000","0.24359","3.43500"
"7.40000","0.24664","3.66532"
"7.50000","0.24991","3.27547"
"7.60000","0.25350","3.44632"
"7.70000","0.25671","3.52881"
"7.80000","0.25993","3.66835"
"7.90000","0.26346","3.56243"
"8.00000","0.26673","3.71013"
"8.10000","0.26995","3.71656"
"8.20000","0.27338","3.83018"
"8.30000","0.27680","4.03059"
"8.40000","0.27996","3.92979"
"8.50000","0.28334","3.78577"
"8.60000","0.28677","4.06141"
"8.70000","0.28998","4.09790"
"8.80000","0.29336","4.16845"
