Group numbers,Specimen material,Test type
"","",""

Results Table 1
,Group numbers,Specimen material,Test type
"1","17","polystyrene","compression"

Results Table 2



Time,Displacement,Force
(s),(mm),(N)
"0.00000","0.00000","0.09962"
"0.10000","0.00659","0.00625"
"0.20000","0.01634","0.25406"
"0.30000","0.02486","-0.01495"
"0.40000","0.03337","0.17384"
"0.50000","0.04189","0.25759"
"0.60000","0.05030","0.28166"
"0.70000","0.05855","0.24100"
"0.80000","0.06664","0.09847"
"0.90000","0.07489","0.19235"
"1.00000","0.08346","0.32920"
"1.10000","0.09193","0.15575"
"1.20000","0.10029","0.20162"
"1.30000","0.10843","0.18381"
"1.40000","0.11657","0.35287"
"1.50000","0.12504","0.29478"
"1.60000","0.13361","0.36355"
"1.70000","0.14196","0.17135"
"1.80000","0.15021","0.32893"
"1.90000","0.15830","0.55811"
"2.00000","0.16666","0.33094"
"2.10000","0.17518","0.27080"
"2.20000","0.18359","0.32981"
"2.30000","0.19195","0.42017"
"2.40000","0.20004","0.42524"
"2.50000","0.20823","0.57279"
"2.60000","0.21675","0.30948"
"2.70000","0.22521","0.57650"
"2.80000","0.23363","0.46662"
"2.90000","0.24187","0.60733"
"3.00000","0.24991","0.45898"
"3.10000","0.25832","0.71623"
"3.20000","0.26684","0.62698"
"3.30000","0.27530","0.66312"
"3.40000","0.28361","0.86508"
"3.50000","0.29170","0.68456"
"3.60000","0.29582","0.75417"
"3.70000","0.29839","0.71136"
"3.80000","0.30225","0.95274"
"3.90000","0.30520","0.83828"
"4.00000","0.30836","0.70406"
"4.10000","0.31221","0.70735"
"4.20000","0.31521","0.73704"
"4.30000","0.31838","0.92413"
"4.40000","0.32213","0.86733"
"4.50000","0.32523","0.87687"
"4.60000","0.32845","0.85138"
"4.70000","0.33209","0.85184"
"4.80000","0.33525","0.98869"
"4.90000","0.33841","0.95007"
"5.00000","0.34200","1.02455"
"5.10000","0.34527","0.90216"
"5.20000","0.34848","0.94686"
"5.30000","0.35196","1.17902"
"5.40000","0.35534","1.07549"
"5.50000","0.35850","1.24569"
"5.60000","0.36193","1.19091"
"5.70000","0.36536","1.37028"
"5.80000","0.36857","1.15919"
"5.90000","0.37189","1.24869"
"6.00000","0.37537","1.32340"
"6.10000","0.37854","1.30104"
"6.20000","0.38175","1.34376"
"6.30000","0.38539","1.19516"
"6.40000","0.38861","1.50737"
"6.50000","0.39171","1.50543"
"6.60000","0.39541","1.53336"
"6.70000","0.39863","1.41876"
"6.80000","0.40168","1.62417"
"6.90000","0.40554","1.56812"
"7.00000","0.40859","1.67575"
"7.10000","0.41164","1.64872"
"7.20000","0.41561","1.75137"
"7.30000","0.41855","1.84737"
"7.40000","0.42166","1.88945"
"7.50000","0.42562","1.90998"
"7.60000","0.42857","1.91252"
"7.70000","0.43162","1.91819"
"7.80000","0.43564","2.16678"
"7.90000","0.43854","2.21555"
"8.00000","0.44164","2.14335"
"8.10000","0.44561","2.41627"
"8.20000","0.44855","2.41514"
"8.30000","0.45166","2.38200"
"8.40000","0.45557","2.55146"
"8.50000","0.45857","2.49962"
"8.60000","0.46168","2.78831"
"8.70000","0.46554","2.59163"
"8.80000","0.46859","2.86298"
