Group numbers,Specimen material,Test type,
,,,
,,,
Results Table 1,,,
,Group numbers,Specimen material,Test type
2,17,erethane_foam,compression
,,,
Results Table 2,,,
,,,
,,,
,,,
Time,Displacement,Force,
(s),(mm),(N),
0,0.00011,-0.23632,
0.1,0.00246,0.04605,
0.2,0.00611,0.00456,
0.3,0.01029,-0.18247,
0.4,0.01339,-0.03845,
0.5,0.0165,0.05199,
0.6,0.02041,-0.09888,
0.7,0.02341,0.18861,
0.8,0.02652,-0.00494,
0.9,0.03043,-0.0755,
1,0.03348,0.09935,
1.1,0.03648,-0.12777,
1.2,0.04045,0.02886,
1.3,0.04345,-0.08868,
1.4,0.04645,0.17289,
1.5,0.05046,-0.05512,
1.6,0.05341,0.04201,
1.7,0.05652,0.02876,
1.8,0.06048,-0.04694,
1.9,0.06338,0.00829,
2,0.06654,0.05225,
2.1,0.07045,0.02159,
2.2,0.07339,0.04531,
2.3,0.07655,-0.00981,
2.4,0.08036,-0.00847,
2.5,0.08341,0.0584,
2.6,0.08662,-0.03903,
2.7,0.09027,-0.112,
2.8,0.09343,0.17994,
2.9,0.09664,0.06659,
3,0.10018,-0.23135,
3.1,0.10345,-0.07004,
3.2,0.10666,0.11415,
3.3,0.11009,-0.09525,
3.4,0.11352,0.11096,
3.5,0.11673,-0.08993,
3.6,0.12005,-0.001,
3.7,0.12354,0.06208,
3.8,0.1267,-0.06725,
3.9,0.13002,0.03711,
4,0.13361,-0.0093,
4.1,0.13671,-0.08132,
4.2,0.14004,0.08064,
4.3,0.14357,0.07613,
4.4,0.14673,0.07403,
4.5,0.14995,0.07598,
4.6,0.15359,-0.0253,
4.7,0.15675,0.00957,
4.8,0.15996,-0.00401,
4.9,0.16361,0.16638,
5,0.16677,-0.05801,
5.1,0.16987,0.00659,
5.2,0.17368,-0.10828,
5.3,0.17684,0.1302,
5.4,0.17989,0.01693,
5.5,0.18375,0.01858,
5.6,0.1868,-0.02197,
5.7,0.1898,0.04556,
5.8,0.19382,-0.02551,
5.9,0.19677,-0.12255,
6,0.19982,0.1215,
6.1,0.20379,-0.05046,
6.2,0.20673,0.11696,
6.3,0.20984,-0.05341,
6.4,0.2138,-0.02017,
6.5,0.21675,0.0331,
6.6,0.21986,0.09039,
6.7,0.22377,0.04515,
6.8,0.22671,-0.03592,
6.9,0.22987,-0.09131,
7,0.23373,-0.15178,
7.1,0.23673,0.09566,
7.2,0.23989,0.13328,
7.3,0.2437,0.1251,
7.4,0.2468,0.06174,
7.5,0.24996,0.06309,
7.6,0.25366,0.02684,
7.7,0.25677,0.01202,
7.8,0.25993,-0.02422,
7.9,0.26357,-0.05656,
8,0.26679,-0.00276,
8.1,0.27,0.11898,
8.2,0.27354,-0.04279,
8.3,0.2768,-0.02837,
8.4,0.27996,-0.09512,
8.5,0.2835,0.18091,
8.6,0.28682,-0.0762,
8.7,0.29004,0.04363,
8.8,0.29341,0.21407,
8.9,0.29684,0.01457,
9,0.30005,0.01893,
9.1,0.30338,0.21683,
9.2,0.30686,0.05645,
9.3,0.31012,0.19535,
9.4,0.31323,0.0987,
9.5,0.31693,0.13613,
9.6,0.32014,0.13045,
9.7,0.32325,-0.0533,
