Group numbers,Specimen material,Test type
"","",""

Results Table 1
,Group numbers,Specimen material,Test type
"1","17","white foam","compression"

Results Table 2



Time,Displacement,Force
(s),(mm),(N)
"0.00000","0.00000","-0.04667"
"0.10000","0.00637","0.02113"
"0.20000","0.01629","0.15366"
"0.30000","0.02507","0.24206"
"0.40000","0.03354","0.30120"
"0.50000","0.04195","0.55638"
"0.60000","0.05014","0.44993"
"0.70000","0.05823","0.40483"
"0.80000","0.06675","0.64003"
"0.90000","0.07516","0.86755"
"1.00000","0.08357","0.83324"
"1.10000","0.09188","0.95036"
"1.20000","0.09996","0.98109"
"1.30000","0.10827","0.92613"
"1.40000","0.11679","1.15617"
"1.50000","0.12525","1.07340"
"1.60000","0.13361","1.19117"
"1.70000","0.14175","1.33714"
"1.80000","0.14995","1.56097"
"1.90000","0.15836","1.75442"
"2.00000","0.16687","1.79959"
"2.10000","0.17529","1.92201"
"2.20000","0.18354","2.18110"
"2.30000","0.19162","2.13297"
"2.40000","0.19993","2.24971"
"2.50000","0.20850","2.43195"
"2.60000","0.21691","2.77961"
"2.70000","0.22527","2.91374"
"2.80000","0.23341","3.10117"
"2.90000","0.24155","3.46216"
"3.00000","0.25007","3.67360"
"3.10000","0.25854","3.88753"
"3.20000","0.26695","4.18203"
"3.30000","0.27520","4.24692"
"3.40000","0.28323","4.62434"
"3.50000","0.29164","4.80844"
"3.60000","0.30016","5.35246"
"3.70000","0.30862","5.35513"
"3.80000","0.31693","5.78465"
"3.90000","0.32502","6.00790"
"4.00000","0.33321","6.19167"
"4.10000","0.34173","6.34035"
"4.20000","0.35020","6.54344"
"4.30000","0.35861","6.89139"
"4.40000","0.36686","7.16651"
"4.50000","0.37489","7.07624"
"4.60000","0.38330","7.38483"
"4.70000","0.39187","7.76917"
"4.80000","0.40029","7.87484"
"4.90000","0.40864","8.27737"
"5.00000","0.41668","8.25232"
"5.10000","0.42493","8.65174"
"5.20000","0.43345","8.69601"
"5.30000","0.44191","8.75077"
"5.40000","0.45027","9.05131"
"5.50000","0.45846","8.90196"
"5.60000","0.46655","9.04255"
"5.70000","0.47496","9.24530"
"5.80000","0.48348","9.33670"
"5.90000","0.49195","9.26321"
"6.00000","0.50025","9.36084"
"6.10000","0.50829","9.56223"
"6.20000","0.51659","9.50721"
"6.30000","0.52516","9.59711"
"6.40000","0.52859","9.77075"
"6.50000","0.53148","9.51125"
"6.60000","0.53464","9.80069"
"6.70000","0.53802","9.85380"
"6.80000","0.54150","9.70528"
"6.90000","0.54466","9.64934"
"7.00000","0.54804","9.85008"
"7.10000","0.55152","9.83001"
"7.20000","0.55468","9.79445"
"7.30000","0.55795","9.79056"
"7.40000","0.56148","9.87425"
"7.50000","0.56470","9.95686"
"7.60000","0.56796","9.98729"
"7.70000","0.57155","9.83300"
"7.80000","0.57471","9.80613"
"7.90000","0.57788","9.86384"
"8.00000","0.58163","9.84102"
"8.10000","0.58479","9.79640"
"8.20000","0.58784","9.86669"
"8.30000","0.59170","9.85150"
"8.40000","0.59475","9.91029"
"8.50000","0.59780","10.08650"
"8.60000","0.60171","9.86936"
"8.70000","0.60471","9.94449"
"8.80000","0.60777","9.96471"
