Blue	Red	Green	

000	591		
000	591		
000	591		
000	591		
000	591		
000	591		
000	591		
000	591		
000	591		
000	591		
000	591		
000	591		
000	591		
000	590		
000	591		
000	591		
000	591		
000	591		
000	591		
000	591		
000	591		
000	591		
000	591		
000	591		
000	591		
000	590		
000	590		
000	590		
000	589		
000	588		
000	588		
000	587		
000	587		
000	586		
000	585		
000	585		
000	584		
000	584		
000	584		
000	584		
000	584		
000	584		
000	584		
000	584		
000	583		
000	583		
000	583		
000	582		
000	581		
000	581		
000	581		
000	581		
000	580		
000	580		
000	580		
000	580		
000	580		
000	580		
000	580		
000	580		
000	580		
000	580		
000	581		
000	581		
000	581		
000	580		
000	580		
000	580		
000	579		
000	578		
000	578		
000	577		
000	576		
000	576		
000	576		
000	575		
000	575		
000	575		
000	575		
000	575		
000	575		
000	575		
000	575		
000	575		
000	575		
000	575		
000	574		
000	573		
000	573		
000	572		
000	572		
000	571		
000	569		
000	568		
000	567		
000	567		
000	566		
000	565		
000	564		
000	564		
000	566		
000	562		
000	562		
000	562		
000	562		
000	562		
000	562		
000	562		
000	562		
000	560		
000	559		
000	557		
000	555		
000	553		
000	552		
001	550		
002	548		
001	546		
001	544		
001	543		
000	541		
000	539		
000	537		
003	535		
004	535		
006	534		
008	533		
011	532		
012	531		
014	530		
016	526		
017	525		
019	524		
019	522		
020	520		
021	517		
022	514		
023	512		
024	509		
024	507		
023	505		
023	504		
024	503		
026	504		
028	504		
030	504		
033	505		
035	505		
037	505		
039	504		
040	503		
042	501		
043	499		
044	494		
044	492		
045	489		
046	485		
046	480		
046	475		
045	470		
045	466		
043	462		
043	457		
043	454		
043	450		
044	446		
047	442		
049	440		
052	438		
055	434		
058	430		
059	428		
060	423		
061	420		
063	415		
063	412		
064	406		
065	403		
066	399		
066	397		
066	394		
065	392		
063	390		
062	388		
061	388		
060	384		
060	382		
060	378		
060	378		
060	375		
060	375		
059	373		
059	374		
059	375		
058	378		
058	381		
058	385		
058	389		
059	393		
060	397		
060	401		
061	404		
063	407		
064	409		
065	411		
067	412		
070	413		
073	414		
075	415		
078	417		
080	419		
082	421		
084	425		
085	429		
085	434		
086	438		
087	444		
087	449		
088	453		
088	456		
088	459		
088	461		
088	462		
089	462		
089	462		
089	461		
091	459		
093	456		
095	454		
097	452		
100	451		
101	450		
103	450		
104	453		
104	456		
104	460		
103	466		
102	472		
101	477		
099	483		
098	488		
094	491		
092	496		
087	499		
084	501		
081	503		
075	504		
073	505		
070	505		
067	505		
066	504		
064	504		
064	504		
064	504		
063	505		
064	506		
063	508		
064	510		
064	511		
064	514		
063	516		
064	517		
064	519		
064	520		
064	522		
063	522		
064	521		
063	521		
064	519		
066	517		
068	516		
070	513		
073	510		
075	508		
077	505		
078	503		
079	502		
081	503		
081	504		
081	506		
081	508		
080	512		
079	516		
077	518		
075	521		
071	525		
069	526		
064	529		
062	529		
058	530		
055	531		
055	531		
055	530		
055	530		
055	530		
056	529		
056	529		
058	529		
059	529		
061	530		
063	532		
065	533		
067	534		
069	537		
071	538		
072	541		
073	542		
074	543		
075	544		
076	545		
076	546		
078	546		
079	546		
080	546		
082	546		
084	545		
086	545		
088	545		
090	543		
093	543		
096	544		
098	544		
101	546		
104	547		
106	549		
107	550		
109	553		
109	554		
