Position	h (cm)	h atm (cm)	dh (m)	Static Pressure	P/P0
1	59.8	61.2	-0.014	99506.82178	1.018986566
2	59.5	61.2	-0.017	99904.12678	1.023055115
3	59.3	61.2	-0.019	100168.9968	1.025767482
4	58.4	61.2	-0.028	101360.9118	1.037973131
5	56.9	61.2	-0.043	103347.4368	1.05831588
6	53.6	61.2	-0.076	107717.7918	1.103069928
7	47.2	61.2	-0.14	116193.6318	1.189865656
8	35.5	61.2	-0.257	131688.5268	1.348539097
9	23.6	61.2	-0.376	147448.2918	1.509924905
10	23.6	61.2	-0.376	147448.2918	1.509924905
11	27	61.2	-0.342	142945.5018	1.463814674
12	33.2	61.2	-0.28	134734.5318	1.379731312
13	34.3	61.2	-0.269	133277.7468	1.364813297
14	36.9	61.2	-0.243	129834.4368	1.329552532
15	37.6	61.2	-0.236	128907.3918	1.320059249
16	38.3	61.2	-0.229	127980.3468	1.310565966
17	39	61.2	-0.222	127053.3018	1.301072683
18	39.1	61.2	-0.221	126920.8668	1.2997165
19	39.9	61.2	-0.213	125861.3868	1.288867034
