#    TIT          PR         ETA(%)    Wnet(kJ/kg)
0.90000E+03  0.50000E+01  0.27658E+02  0.22496E+03
0.90000E+03  0.75000E+01  0.32861E+02  0.24483E+03
0.90000E+03  0.10000E+02  0.35971E+02  0.24859E+03
0.90000E+03  0.12500E+02  0.38010E+02  0.24546E+03
0.90000E+03  0.15000E+02  0.39397E+02  0.23890E+03
0.90000E+03  0.17500E+02  0.40345E+02  0.23050E+03
0.90000E+03  0.20000E+02  0.40971E+02  0.22106E+03
0.90000E+03  0.22500E+02  0.41347E+02  0.21106E+03
0.90000E+03  0.25000E+02  0.41519E+02  0.20076E+03
0.90000E+03  0.27500E+02  0.41517E+02  0.19032E+03
0.90000E+03  0.30000E+02  0.41361E+02  0.17986E+03
0.90000E+03  0.32500E+02  0.41063E+02  0.16943E+03
0.90000E+03  0.35000E+02  0.40631E+02  0.15909E+03
0.90000E+03  0.37500E+02  0.40069E+02  0.14887E+03
0.90000E+03  0.40000E+02  0.39378E+02  0.13877E+03
0.90000E+03  0.42500E+02  0.38555E+02  0.12881E+03
0.90000E+03  0.45000E+02  0.37596E+02  0.11901E+03
0.90000E+03  0.47500E+02  0.36492E+02  0.10935E+03
0.90000E+03  0.50000E+02  0.35234E+02  0.99847E+02
0.90000E+03  0.52500E+02  0.33808E+02  0.90494E+02
0.90000E+03  0.55000E+02  0.32197E+02  0.81290E+02
0.90000E+03  0.57500E+02  0.30380E+02  0.72233E+02
0.90000E+03  0.60000E+02  0.28332E+02  0.63320E+02
0.90000E+03  0.62500E+02  0.26020E+02  0.54547E+02
0.90000E+03  0.65000E+02  0.23404E+02  0.45910E+02

#    TIT          PR         ETA(%)    Wnet(kJ/kg)
0.10000E+04  0.50000E+01  0.27870E+02  0.26331E+03
0.10000E+04  0.75000E+01  0.33274E+02  0.29154E+03
0.10000E+04  0.10000E+02  0.36600E+02  0.30084E+03
0.10000E+04  0.12500E+02  0.38868E+02  0.30178E+03
0.10000E+04  0.15000E+02  0.40499E+02  0.29842E+03
0.10000E+04  0.17500E+02  0.41706E+02  0.29261E+03
0.10000E+04  0.20000E+02  0.42611E+02  0.28537E+03
0.10000E+04  0.22500E+02  0.43286E+02  0.27724E+03
0.10000E+04  0.25000E+02  0.43782E+02  0.26857E+03
0.10000E+04  0.27500E+02  0.44132E+02  0.25957E+03
0.10000E+04  0.30000E+02  0.44357E+02  0.25040E+03
0.10000E+04  0.32500E+02  0.44476E+02  0.24114E+03
