Inverted Pendulum (Datalogger K)

Sampling interval = 2.5mS
Logging time (s) = 5
Zoomlevel = 10

Inverted state of displayed channels:
CD False
CP False
CV False
PP False
PV False
_____________________________________________

Time,CD,CP,CV,PP,PV

0.0000,2062,2087,2050,2035,2041
0.0025,2062,2087,2050,2035,2041
0.0050,2062,2087,2051,2034,2041
0.0075,2062,2087,2051,2035,2040
0.0100,2062,2088,2051,2035,2041
0.0125,2062,2086,2051,2034,2040
0.0150,2062,2088,2050,2035,2040
0.0175,2062,2086,2050,2034,2040
0.0200,2062,2088,2049,2034,2040
0.0225,2062,2086,2050,2035,2040
0.0250,2062,2086,2052,2034,2040
0.0275,2063,2087,2051,2034,2040
0.0300,2062,2088,2050,2035,2040
0.0325,2062,2086,2051,2034,2040
0.0350,2062,2086,2050,2035,2040
0.0375,2062,2087,2052,2035,2041
0.0400,2062,2086,2050,2035,2040
0.0425,2062,2087,2050,2034,2040
0.0450,2062,2087,2050,2035,2040
0.0475,2062,2086,2050,2034,2040
0.0500,2062,2087,2052,2035,2040
0.0525,2062,2086,2050,2035,2040
0.0550,2062,2087,2051,2035,2040
0.0575,2062,2087,2050,2035,2040
0.0600,2062,2087,2050,2035,2040
0.0625,2062,2087,2052,2035,2040
0.0650,2062,2087,2050,2035,2040
0.0675,2062,2087,2050,2034,2040
0.0700,2062,2087,2050,2035,2042
0.0725,2063,2086,2051,2035,2042
0.0750,2062,2088,2052,2036,2044
0.0775,2062,2086,2050,2035,2044
0.0800,2062,2087,2050,2036,2044
0.0825,2062,2088,2050,2035,2044
0.0850,2063,2086,2050,2036,2044
0.0875,2062,2087,2052,2035,2045
0.0900,2062,2086,2050,2036,2045
0.0925,2062,2086,2050,2036,2045
0.0950,2062,2087,2050,2035,2045
0.0975,2062,2087,2050,2035,2044
0.1000,2062,2087,2051,2036,2045
0.1025,2063,2087,2049,2036,2045
0.1050,2062,2086,2050,2035,2045
0.1075,2062,2086,2050,2036,2046
0.1100,2062,2086,2050,2036,2046
0.1125,2062,2087,2052,2035,2045
0.1150,2062,2087,2050,2035,2043
0.1175,2062,2088,2050,2035,2043
0.1200,2062,2086,2050,2035,2041
0.1225,2063,2088,2050,2035,2042
0.1250,2062,2087,2052,2036,2041
0.1275,2062,2086,2050,2035,2041
0.1300,2063,2087,2050,2034,2041
0.1325,2062,2087,2050,2035,2040
0.1350,2062,2086,2050,2035,2041
0.1375,2062,2086,2052,2036,2040
0.1400,2062,2087,2050,2034,2040
0.1425,2062,2087,2050,2034,2040
0.1450,2063,2087,2050,2034,2039
0.1475,2062,2087,2050,2035,2039
0.1500,2062,2086,2052,2036,2040
0.1525,2062,2086,2050,2034,2040
0.1550,2062,2086,2050,2034,2039
0.1575,2062,2086,2050,2035,2039
0.1600,2062,2086,2050,2036,2040
0.1625,2062,2086,2051,2036,2039
0.1650,2062,2086,2050,2035,2039
0.1675,2062,2087,2050,2035,2039
0.1700,2062,2086,2051,2035,2040
0.1725,2062,2086,2050,2034,2039
0.1750,2063,2086,2052,2035,2039
