Inverted Pendulum (Datalogger L)

Sampling interval = 2.5mS
Logging time (s) = 5
Zoomlevel = 10

Inverted state of displayed channels:
CD False
CP False
CV False
PP False
PV False
_____________________________________________

Time,CD,CP,CV,PP,PV

0.0000,2058,2129,2034,2061,1957
0.0025,2057,2129,2049,2062,1975
0.0050,2057,2129,2064,2061,2015
0.0075,2057,2129,2080,2060,2053
0.0100,2057,2129,2086,2060,2091
0.0125,2057,2129,2091,2059,2124
0.0150,2057,2127,2090,2058,2148
0.0175,2057,2128,2086,2056,2163
0.0200,2057,2128,2080,2054,2168
0.0225,2057,2127,2072,2053,2162
0.0250,2057,2126,2066,2052,2155
0.0275,2057,2126,2061,2051,2143
0.0300,2057,2126,2046,2051,2109
0.0325,2057,2126,2027,2051,2081
0.0350,2057,2126,2010,2051,2049
0.0375,2057,2127,1997,2052,2018
0.0400,2058,2126,1991,2052,1986
0.0425,2057,2127,1990,2053,1956
0.0450,2058,2129,1991,2056,1936
0.0475,2057,2128,1992,2056,1926
0.0500,2057,2129,1995,2058,1924
0.0525,2057,2129,2002,2059,1937
0.0550,2057,2130,2016,2060,1950
0.0575,2057,2131,2028,2061,1955
0.0600,2057,2132,2045,2062,1976
0.0625,2057,2131,2059,2062,2009
0.0650,2057,2131,2074,2061,2047
0.0675,2057,2131,2083,2061,2083
0.0700,2057,2130,2088,2060,2115
0.0725,2057,2131,2088,2059,2142
0.0750,2057,2131,2086,2057,2155
0.0775,2057,2130,2080,2056,2162
0.0800,2057,2130,2072,2054,2158
0.0825,2057,2129,2064,2053,2152
0.0850,2057,2128,2058,2053,2148
0.0875,2057,2129,2047,2052,2121
0.0900,2057,2129,2028,2052,2090
0.0925,2057,2129,2011,2052,2056
0.0950,2058,2129,1995,2052,2023
0.0975,2057,2130,1989,2053,1990
0.1000,2057,2130,1989,2055,1958
0.1025,2057,2131,1990,2056,1933
0.1050,2057,2132,1992,2058,1922
0.1075,2057,2132,1995,2060,1922
0.1100,2058,2133,2001,2061,1929
0.1125,2057,2133,2016,2062,1934
0.1150,2057,2134,2033,2063,1939
0.1175,2057,2134,2051,2064,1953
0.1200,2057,2136,2069,2063,1992
0.1225,2057,2133,2085,2064,2042
0.1250,2057,2133,2097,2063,2090
0.1275,2057,2133,2104,2062,2134
0.1300,2058,2134,2106,2060,2164
0.1325,2057,2132,2103,2058,2186
0.1350,2057,2131,2095,2056,2193
0.1375,2057,2130,2089,2055,2189
0.1400,2058,2130,2084,2053,2180
0.1425,2057,2130,2080,2051,2153
0.1450,2057,2129,2069,2050,2108
0.1475,2057,2129,2049,2050,2080
0.1500,2057,2129,2036,2050,2059
0.1525,2057,2129,2024,2051,2037
0.1550,2057,2129,2017,2050,2018
0.1575,2057,2129,2014,2051,1998
0.1600,2057,2130,2009,2052,1980
0.1625,2057,2130,2010,2052,1974
0.1650,2057,2130,2014,2053,1967
0.1675,2057,2130,2016,2054,1966
0.1700,2057,2131,2018,2056,1971
0.1725,2056,2131,2025,2056,1973
0.1750,2057,2131,2037,2057,1976
0.1775,2057,2132,2046,2057,1990
0.1800,2058,2133,2055,2057,2015
0.1825,2057,2132,2064,2057,2039
0.1850,2057,2132,2074,2056,2066
0.1875,2056,2131,2079,2056,2089
0.1900,2057,2131,2080,2055,2106
0.1925,2057,2131,2076,2054,2121
0.1950,2056,2132,2069,2053,2124
0.1975,2058,2131,2062,2052,2124
0.2000,2057,2131,2058,2051,2124
0.2025,2057,2131,2049,2051,2105
0.2050,2058,2130,2036,2051,2080
0.2075,2058,2130,2022,2052,2053
0.2100,2057,2131,2015,2052,2024
0.2125,2056,2131,2006,2053,1998
0.2150,2058,2131,2001,2053,1974
0.2175,2057,2131,2001,2054,1955
0.2200,2058,2133,2003,2056,1951
0.2225,2057,2133,2007,2056,1950
0.2250,2057,2134,2016,2057,1952
0.2275,2057,2134,2021,2058,1961
0.2300,2056,2135,2028,2060,1981
0.2325,2057,2135,2042,2060,2014
0.2350,2057,2136,2052,2061,2033
0.2375,2058,2135,2060,2060,2055
0.2400,2057,2136,2067,2060,2079
0.2425,2057,2135,2071,2059,2091
0.2450,2057,2135,2071,2059,2102
0.2475,2057,2134,2067,2058,2108
0.2500,2057,2133,2064,2058,2114
0.2525,2057,2134,2060,2057,2118
0.2550,2057,2135,2055,2057,2122
0.2575,2057,2134,2045,2056,2124
0.2600,2058,2133,2031,2056,2106
0.2625,2057,2134,2017,2055,2076
0.2650,2058,2135,2002,2057,2039
0.2675,2056,2135,1996,2058,2003
0.2700,2057,2136,1995,2058,1969
0.2725,2058,2137,1998,2060,1943
