time,ax,ay,az,atotal
0.000,0.12,-0.08,0.08,0.16
0.010,0.03,0.09,0.27,0.29
0.020,-0.05,-0.21,0.39,0.44
0.030,0.03,-0.28,0.09,0.29
0.040,0.15,-0.18,-0.02,0.23
0.050,0.15,0.18,0.17,0.29
0.060,-0.04,0.04,0.31,0.32
0.070,0.02,-0.19,-0.10,0.21
0.080,0.01,-0.18,-0.21,0.28
0.090,0.15,0.12,-0.06,0.20
0.100,-0.04,0.06,0.26,0.27
0.110,-0.06,-0.26,0.01,0.26
0.120,0.02,-0.22,-0.09,0.24
0.130,0.14,-0.16,0.01,0.22
0.140,0.06,0.16,0.34,0.39
0.150,-0.03,-0.22,0.46,0.51
0.160,0.04,-0.30,-0.03,0.30
0.170,0.08,-0.12,-0.03,0.15
0.180,0.14,0.26,0.18,0.35
0.190,-0.04,0.03,0.29,0.29
0.199,0.02,-0.26,0.07,0.27
0.210,0.03,-0.16,-0.31,0.35
0.219,0.17,0.01,0.11,0.20
0.230,-0.03,0.30,0.25,0.39
0.240,-0.05,-0.40,0.24,0.47
0.250,0.04,-0.35,-0.04,0.36
0.260,0.13,-0.13,-0.01,0.18
0.269,0.04,0.22,0.29,0.37
0.280,-0.04,-0.05,0.32,0.32
0.290,0.05,-0.37,0.05,0.37
0.299,0.08,-0.15,-0.09,0.19
0.310,0.17,0.21,0.15,0.31
0.319,-0.07,0.12,0.15,0.20
0.330,0.02,-0.27,0.01,0.27
0.339,0.01,-0.30,-0.18,0.35
0.350,0.15,0.02,-0.00,0.15
0.360,-0.07,0.12,0.23,0.27
0.369,-0.05,-0.19,0.17,0.26
0.380,-0.00,-0.35,-0.01,0.35
0.389,0.13,-0.11,0.01,0.18
0.399,0.08,0.16,0.31,0.35
0.409,-0.06,-0.10,0.32,0.34
0.419,0.06,-0.24,0.05,0.25
0.429,0.09,-0.19,-0.14,0.25
0.440,0.14,0.17,0.01,0.22
0.449,-0.08,0.21,0.24,0.33
0.459,-0.05,-0.32,0.05,0.33
0.469,-0.01,-0.29,-0.16,0.34
0.479,0.09,-0.02,0.24,0.26
0.489,-0.08,0.21,0.20,0.30
0.499,-0.01,-0.38,0.39,0.54
0.509,0.02,-0.33,0.07,0.34
0.519,0.12,-0.11,-0.09,0.18
0.529,0.09,0.21,0.03,0.23
0.539,-0.02,-0.07,0.37,0.38
0.549,0.05,-0.29,-0.01,0.30
