time,ax,ay,az,atotal
0.000,-0.03,0.28,0.02,0.28
0.010,-0.01,0.48,0.16,0.51
0.020,0.01,0.13,0.24,0.27
0.030,-0.04,-0.09,0.37,0.38
0.040,0.04,0.37,0.13,0.39
0.050,0.01,0.28,0.18,0.33
0.060,-0.01,0.57,0.19,0.60
0.070,-0.01,0.12,0.17,0.21
0.080,-0.02,-0.06,0.21,0.22
0.090,0.05,0.41,0.11,0.42
0.100,-0.03,0.24,0.16,0.29
0.110,0.02,0.63,0.19,0.66
0.120,-0.04,0.05,0.24,0.25
0.130,-0.00,-0.01,0.18,0.18
0.140,0.05,0.27,0.00,0.28
0.150,0.04,0.38,-0.00,0.39
0.160,0.04,0.48,0.20,0.52
0.170,-0.03,0.15,-0.04,0.16
0.180,-0.03,-0.00,-0.05,0.06
0.190,-0.00,0.21,-0.11,0.24
0.200,0.01,0.41,0.12,0.43
0.210,-0.01,0.39,0.18,0.43
0.220,-0.03,0.07,0.06,0.10
0.230,-0.06,0.00,-0.11,0.12
0.240,0.06,0.25,-0.01,0.26
0.250,-0.00,0.37,0.10,0.38
0.260,0.03,0.40,0.13,0.42
0.270,-0.02,0.17,0.22,0.28
0.280,-0.07,-0.01,-0.04,0.08
0.290,0.02,0.38,-0.08,0.39
0.299,0.03,0.28,0.25,0.38
0.310,0.02,0.45,0.23,0.51
0.320,-0.04,0.06,0.15,0.16
0.329,-0.03,0.10,-0.11,0.15
0.340,0.04,0.40,-0.05,0.41
0.349,-0.02,0.32,0.14,0.35
0.359,0.03,0.43,0.22,0.49
0.369,-0.05,-0.01,-0.02,0.06
0.380,0.00,0.16,-0.12,0.20
0.389,-0.03,0.43,-0.15,0.45
0.399,-0.01,0.21,-0.12,0.24
0.409,0.06,0.38,0.12,0.40
0.419,-0.04,0.02,-0.05,0.07
0.429,-0.01,0.22,-0.27,0.34
0.439,-0.01,0.40,-0.10,0.42
0.449,-0.04,0.26,0.01,0.26
0.459,0.04,0.29,0.20,0.36
0.469,-0.03,0.00,0.10,0.10
0.479,-0.00,0.25,-0.17,0.30
0.489,0.03,0.41,-0.09,0.42
0.499,-0.03,0.30,0.08,0.31
0.509,-0.00,0.32,0.08,0.33
0.519,-0.03,0.01,0.11,0.12
0.529,-0.02,0.29,-0.06,0.30
0.539,-0.06,0.47,-0.16,0.50
0.549,-0.18,0.60,0.07,0.63
0.559,0.07,-0.05,0.16,0.18
0.569,0.08,-0.25,0.07,0.27
0.579,-0.02,0.25,-0.25,0.35
