ICAO 	First flight 	Seats 	Fuel Burn 	Fuel efficiency per seat 
A220-100	2013	125	2.28	2.28 (103 mpg‑US)[69]
A220-300	2015	135	2.30	2.13 (110 mpg‑US)[45]
A220-300	2015	150	2.42	2.02 (116 mpg‑US)[86]
A220-300	2015	160	2.56	2.00 (118 mpg‑US)[70]
A319	1995	124	2.93	2.95 (80 mpg‑US)[87]
A319neo	2015	136	2.40	2.22 (106 mpg‑US)[45]
A320	1987	150	3.13	2.61 (90 mpg‑US)[87]
A320neo	2016	180	2.79	1.94 (121 mpg‑US)[88]
A321-200	1996	180	3.61	2.50 (94 mpg‑US)[87]
A321neo	2017	220	3.47	1.98 (119 mpg‑US)[89]
A330-200	1997	293	5.60	2.37 (99 mpg‑US)[87]
AN-148	2004	89	2.75	3.86 (60.9 mpg‑US)[55]
AN-158	2010	99	2.83	3.57 (65.9 mpg‑US)[55]
B737-600	1998	110	2.77	3.15 (75 mpg‑US)[75]
B737-700	1997	126	2.82	2.79 (84 mpg‑US)[75]
B737-700	1997	128	2.80	2.71 (87 mpg‑US)[87]
B737 MAX-7	2017	140	2.51	1.94 (121 mpg‑US)[45]
B737-800	1997	162	3.17	2.44 (96 mpg‑US)[75]
B737-800	1997	160	3.45	2.68 (88 mpg‑US)[87]
B737-800W	1997	162	3.18	2.45 (96 mpg‑US)[90]
B737 MAX-8	2017	162	2.71	2.04 (115 mpg‑US)[90]
B737-900ER	2006	180	3.42	2.38 (99 mpg‑US)[75]
B737-900ERW	2006	180	3.42	2.37 (99 mpg‑US)[90]
B737 MAX-9	2017	180	2.91	2.02 (116 mpg‑US)[90]
B757-200	1982	190	4.60	3.02 (78 mpg‑US)[87]
B757-200	1982	200	4.16	2.59 (90.8 mpg‑US)[76]
B757-300	1998	243	4.68	2.40 (98 mpg‑US)[76]
B787-8	2009	248	5.50	2.77 (85 mpg‑US)[91]
B787-9	2013	296	5.67	2.39 (98 mpg‑US)[92]
B787-10	2017	336	6.09	2.27 (104 mpg‑US)[93]
