# M, Cl, Cd, alpha, BF1, BF2, BF3, BF4
6.999999999999999556e-01,1.592899999999999872e-01,7.660000000000000142e-03,0.000000000000000000e+00,-inf,-4.240000000000001545e-01,-4.323304914098377028e-01,-4.000000000000000083e-02
6.999999999999999556e-01,2.341100000000000125e-01,7.680000000000000195e-03,4.444000000000000172e-01,-inf,-3.940000000000001279e-01,-4.278873163946622649e-01,-3.895000000000000545e-02
6.999999999999999556e-01,3.091099999999999959e-01,7.729999999999999892e-03,8.889000000000000234e-01,-inf,-3.630000000000002114e-01,-4.234253595450920837e-01,-3.778000000000000108e-02
6.999999999999999556e-01,3.845000000000000084e-01,7.799999999999999642e-03,1.333299999999999930e+00,-1.727091842351873296e-01,-3.300000000000000711e-01,-4.193926255623422472e-01,-3.645000000000000323e-02
6.999999999999999556e-01,4.606000000000000094e-01,7.960000000000000062e-03,1.777800000000000047e+00,-8.383640954818538660e-02,-2.960000000000002629e-01,-3.546770026494199257e-01,-3.481000000000000066e-02
6.999999999999999556e-01,5.375400000000000178e-01,8.470000000000000098e-03,2.222199999999999953e+00,-6.735080643614166362e-03,-2.570000000000001172e-01,-2.725806930008327633e-01,-3.298000000000000237e-02
6.999999999999999556e-01,6.160499999999999865e-01,9.809999999999999276e-03,2.666700000000000070e+00,9.289520822422403512e-03,-2.140000000000001901e-01,-2.047147049026405430e-01,-3.051000000000000240e-02
6.999999999999999556e-01,6.957299999999999596e-01,1.124999999999999958e-02,3.111099999999999977e+00,4.078726951129518774e-02,-1.640000000000001457e-01,-1.460184857508297629e-01,-2.699000000000000704e-02
6.999999999999999556e-01,7.764100000000000446e-01,1.405999999999999958e-02,3.555600000000000094e+00,9.231677296959794887e-02,-1.290000000000000036e-01,-9.233030625441540629e-02,-2.339999999999999719e-02
6.999999999999999556e-01,8.686899999999999622e-01,1.914000000000000076e-02,4.000000000000000000e+00,1.008434341981774285e-01,-1.440000000000001279e-01,-3.784060685325041362e-02,-2.328999999999999820e-02
7.199999999999999734e-01,5.773200000000000554e-01,8.930000000000000437e-03,2.299999999999999822e+00,-3.587085255118638294e-02,-1.990000000000002878e-01,-2.350794949324377381e-01,-3.473000000000000392e-02
7.256000000000000227e-01,5.855500000000000149e-01,9.100000000000000450e-03,2.299999999999999822e+00,-2.530077139841058198e-02,-1.830000000000002736e-01,-2.302838013934727091e-01,-3.507000000000001089e-02
7.310999999999999721e-01,5.935599999999999765e-01,9.459999999999999659e-03,2.299999999999999822e+00,-9.836835319759540397e-03,-1.680000000000001492e-01,-2.272175319040785624e-01,-3.570000000000000256e-02
7.367000000000000215e-01,6.028499999999999970e-01,1.004000000000000031e-02,2.299999999999999822e+00,-2.252918516426616335e-03,-1.530000000000000249e-01,-2.242205897389966118e-01,-3.617000000000000076e-02
7.421999999999999709e-01,6.131799999999999473e-01,1.078999999999999924e-02,2.299999999999999822e+00,-4.477580210842768693e-03,-1.400000000000001243e-01,-2.099144495690727918e-01,-3.710000000000001491e-02
7.478000000000000203e-01,6.368800000000000017e-01,1.068000000000000026e-02,2.299999999999999822e+00,-3.765699269270172955e-02,-1.720000000000001528e-01,-1.926839846491708030e-01,-4.200000000000000261e-02
7.532999999999999696e-01,6.552200000000000246e-01,1.076000000000000047e-02,2.299999999999999822e+00,2.085266913737782168e-02,-1.740000000000003766e-01,-1.428363308626221517e-01,-3.943999999999999589e-02
7.589000000000000190e-01,6.675600000000000422e-01,1.212000000000000056e-02,2.299999999999999822e+00,5.500007220219993442e-02,-1.460000000000003517e-01,-9.741792779780000799e-02,-4.367000000000000742e-02
7.643999999999999684e-01,6.805200000000000138e-01,1.399000000000000070e-02,2.299999999999999822e+00,7.776161416735138943e-02,-9.200000000000008171e-02,-5.978403639350937659e-02,-4.220000000000000834e-02
7.700000000000000178e-01,6.914000000000000146e-01,1.606000000000000136e-02,2.299999999999999822e+00,9.029699636871924007e-02,-3.000000000000113687e-03,-2.963654804403126342e-02,-3.062000000000000138e-02
7.500000000000000000e-01,5.632599999999999829e-01,1.017999999999999981e-02,2.000000000000000000e+00,-2.409849937727503999e-02,-1.420000000000003482e-01,-2.173822144674675272e-01,-3.657000000000001222e-02
7.500000000000000000e-01,5.778900000000000148e-01,1.039999999999999952e-02,2.066699999999999982e+00,-2.212862223044043120e-02,-1.360000000000001208e-01,-2.201574374342565310e-01,-3.654000000000000997e-02
7.500000000000000000e-01,5.930800000000000516e-01,1.069999999999999944e-02,2.133300000000000196e+00,-2.304099275934068380e-02,-1.350000000000002309e-01,-2.178984042728180359e-01,-3.652000000000001773e-02
7.500000000000000000e-01,6.086599999999999788e-01,1.091999999999999915e-02,2.200000000000000178e+00,-2.610163928858355575e-02,-1.340000000000003411e-01,-2.073133648446767729e-01,-3.677000000000001795e-02
7.500000000000000000e-01,6.382700000000000040e-01,1.003000000000000072e-02,2.266700000000000159e+00,-1.768484553558868910e-02,-1.800000000000001599e-01,-1.918624971839877347e-01,-4.021000000000001656e-02
7.500000000000000000e-01,6.550500000000000211e-01,1.038999999999999993e-02,2.333299999999999930e+00,3.084691333618660991e-03,-1.810000000000000497e-01,-1.662113086663814521e-01,-4.043000000000001454e-02
7.500000000000000000e-01,6.684200000000000141e-01,1.090999999999999956e-02,2.399999999999999911e+00,1.626251840498560419e-02,-1.730000000000000426e-01,-1.530334815950145089e-01,-3.990000000000001185e-02
7.500000000000000000e-01,6.864500000000000046e-01,1.149999999999999981e-02,2.466699999999999893e+00,3.584707732473035868e-02,-1.750000000000002665e-01,-1.278419226752696147e-01,-3.993000000000001409e-02
7.500000000000000000e-01,6.993200000000000527e-01,1.197999999999999933e-02,2.533300000000000107e+00,4.669822452369287724e-02,-1.650000000000000355e-01,-1.169907754763070962e-01,-3.915999999999999343e-02
7.500000000000000000e-01,7.171199999999999797e-01,1.260000000000000009e-02,2.600000000000000089e+00,6.012550016681683651e-02,-1.650000000000000355e-01,-9.793849983318314578e-02,-3.887000000000000871e-02
7.556000000000000494e-01,5.905299999999999994e-01,9.100000000000000450e-03,2.000000000000000000e+00,-4.079020457539761502e-02,-1.800000000000001599e-01,-2.100862045753977281e-01,-4.484000000000001179e-02
7.556000000000000494e-01,6.075899999999999634e-01,9.560000000000000789e-03,2.066699999999999982e+00,-1.977158228670283791e-02,-1.850000000000000533e-01,-1.834605822867028113e-01,-4.498000000000001303e-02
7.556000000000000494e-01,6.226199999999999513e-01,1.000000000000000021e-02,2.133300000000000196e+00,-9.718532590383688330e-04,-1.770000000000000462e-01,-1.646608532590383422e-01,-4.487000000000001404e-02
7.556000000000000494e-01,6.364600000000000257e-01,1.038000000000000034e-02,2.200000000000000178e+00,1.276138159816753159e-02,-1.700000000000003730e-01,-1.509276184018324418e-01,-4.431999999999999135e-02
7.556000000000000494e-01,6.544600000000000417e-01,1.141999999999999960e-02,2.266700000000000159e+00,3.104321077748006807e-02,-1.700000000000003730e-01,-1.270207892225199142e-01,-4.448999999999999483e-02
7.556000000000000494e-01,6.675699999999999967e-01,1.188999999999999953e-02,2.333299999999999930e+00,4.275407546444842666e-02,-1.610000000000000320e-01,-1.153099245355515556e-01,-4.359999999999999293e-02
7.556000000000000494e-01,6.869499999999999496e-01,1.349000000000000025e-02,2.399999999999999911e+00,5.820551016869135452e-02,-1.570000000000000284e-01,-9.412757603196331146e-02,-4.322000000000000147e-02
7.556000000000000494e-01,6.991100000000000092e-01,1.404000000000000040e-02,2.466699999999999893e+00,6.762270979487605693e-02,-1.440000000000001279e-01,-8.479529020512388549e-02,-4.229000000000001508e-02
7.556000000000000494e-01,7.115899999999999448e-01,1.460000000000000013e-02,2.533300000000000107e+00,7.702420978272339624e-02,-1.310000000000002274e-01,-7.539379021727654617e-02,-4.120999999999998969e-02
7.556000000000000494e-01,7.310200000000000031e-01,1.670999999999999916e-02,2.600000000000000089e+00,8.383999909501160808e-02,-1.160000000000001030e-01,-5.763172812445072068e-02,-4.059000000000000802e-02
7.610999999999999988e-01,6.071600000000000330e-01,1.099999999999999936e-02,2.000000000000000000e+00,1.191592017676135207e-02,-1.730000000000000426e-01,-1.405020798232385904e-01,-4.642000000000000987e-02
7.610999999999999988e-01,6.212600000000000344e-01,1.088000000000000078e-02,2.066699999999999982e+00,2.496730764758803289e-02,-1.650000000000000355e-01,-1.274506923524119095e-01,-4.575000000000000594e-02
7.610999999999999988e-01,6.351099999999999524e-01,1.129999999999999928e-02,2.133300000000000196e+00,3.696007190880812310e-02,-1.540000000000003588e-01,-1.154579280911918193e-01,-4.517999999999999100e-02
7.610999999999999988e-01,6.481099999999999639e-01,1.170999999999999992e-02,2.200000000000000178e+00,4.753139554608432071e-02,-1.440000000000001279e-01,-1.048866044539156217e-01,-4.426999999999999685e-02
7.610999999999999988e-01,6.677100000000000257e-01,1.430999999999999980e-02,2.266700000000000159e+00,5.849916493957296737e-02,-1.370000000000000107e-01,-8.590053912339556952e-02,-4.404999999999999888e-02
7.610999999999999988e-01,6.881199999999999539e-01,1.387000000000000038e-02,2.333299999999999930e+00,7.052945573794522360e-02,-1.160000000000001030e-01,-6.241555728100856015e-02,-4.300000000000000350e-02
7.610999999999999988e-01,6.997499999999999831e-01,1.434999999999999991e-02,2.399999999999999911e+00,7.921801227206515250e-02,-1.030000000000002025e-01,-5.478386803803236837e-02,-4.164000000000000340e-02
7.610999999999999988e-01,7.119499999999999718e-01,1.484000000000000076e-02,2.466699999999999893e+00,8.812006074158351687e-02,-8.700000000000018829e-02,-4.717673918097409214e-02,-4.029999999999999555e-02
7.610999999999999988e-01,7.243899999999999784e-01,1.535000000000000080e-02,2.533300000000000107e+00,9.703827793987684913e-02,-6.800000000000006040e-02,-3.975867773339403222e-02,-3.906000000000000444e-02
7.610999999999999988e-01,7.358500000000000041e-01,1.583000000000000032e-02,2.600000000000000089e+00,1.048265613737286994e-01,-5.100000000000015632e-02,-3.302941905708323134e-02,-3.762999999999998985e-02
7.667000000000000481e-01,6.205899999999999750e-01,1.210999999999999924e-02,2.000000000000000000e+00,4.175095359936453754e-02,-1.350000000000002309e-01,-9.419375488418246789e-02,-4.628999999999999088e-02
7.667000000000000481e-01,6.341999999999999860e-01,1.256999999999999958e-02,2.066699999999999982e+00,5.223225765202310633e-02,-1.230000000000002203e-01,-8.476701419374643720e-02,-4.508000000000000201e-02
7.667000000000000481e-01,6.469799999999999995e-01,1.302000000000000032e-02,2.133300000000000196e+00,6.163646665574762373e-02,-1.089999999999999858e-01,-7.612853547565556767e-02,-4.414000000000000562e-02
7.667000000000000481e-01,6.601299999999999946e-01,1.349999999999999985e-02,2.200000000000000178e+00,7.144068514066170827e-02,-9.400000000000030553e-02,-6.761884270028195587e-02,-4.295999999999999125e-02
7.667000000000000481e-01,6.722299999999999942e-01,1.396000000000000019e-02,2.266700000000000159e+00,8.023669650366782591e-02,-8.000000000000007105e-02,-5.972369446085434852e-02,-4.170999999999999014e-02
7.667000000000000481e-01,7.003200000000000536e-01,1.592999999999999972e-02,2.333299999999999930e+00,8.245726419717591682e-02,-2.600000000000024514e-02,-3.209182185302661416e-02,-3.909000000000000669e-02
7.667000000000000481e-01,7.123500000000000387e-01,1.649000000000000118e-02,2.399999999999999911e+00,9.106404610340312900e-02,-6.000000000000227374e-03,-2.474923208337376224e-02,-3.729999999999999288e-02
7.667000000000000481e-01,7.232399999999999940e-01,1.702000000000000041e-02,2.466699999999999893e+00,9.866441905203093832e-02,1.399999999999979039e-02,-1.803680823477482598e-02,-3.582000000000001155e-02
7.667000000000000481e-01,7.356800000000000006e-01,1.759000000000000147e-02,2.533300000000000107e+00,1.073060234949556602e-01,4.000000000000003553e-02,-1.117464156506264850e-02,-3.382000000000000978e-02
