W [kg],	Z [N],	Delta,	alpha = -tan(delta),	Backwards,	Forwards,	Mean,	Peak Lateral Force Y [N]
3,48.16,0,0.000,-0.066,0.08,0.073,9.012
3,48.16,-1,0.017,-0.006,0.025,0.016,1.914
3,48.16,-2,0.035,-0.035,0.02,0.028,3.395
3,48.16,-3,0.052,-0.05,0.06,0.055,6.790
3,48.16,-4,0.070,-0.081,0.095,0.088,10.864
3,48.16,-5,0.087,-0.11,0.131,0.121,14.877
3,48.16,-6,0.105,-0.134,0.149,0.142,17.469
3,48.16,-7,0.123,-0.155,0.171,0.163,20.123
3,48.16,-8,0.141,-0.179,0.2,0.190,23.395
3,48.16,-9,0.158,-0.2,0.221,0.211,25.988
3,48.16,-10,0.176,-0.216,0.233,0.225,27.716
3,48.16,-11,0.194,-0.229,0.252,0.241,29.691
3,48.16,-12,0.213,-0.252,0.272,0.262,32.346
3,48.16,-13,0.231,-0.27,0.294,0.282,34.815
3,48.16,-14,0.249,-0.286,0.298,0.292,36.049
3,48.16,-15,0.268,-0.295,0.317,0.306,37.778
5,80.26,0,0.000,-0.075,0.042,0.059,7.222
5,80.26,-1,0.017,-0.001,0.003,0.002,0.247
5,80.26,-2,0.035,-0.042,0.043,0.043,5.247
5,80.26,-3,0.052,-0.086,0.087,0.087,10.679
5,80.26,-4,0.070,-0.118,0.124,0.121,14.938
5,80.26,-5,0.087,-0.15,0.153,0.152,18.704
5,80.26,-6,0.105,-0.188,0.198,0.193,23.827
5,80.26,-7,0.123,-0.233,0.237,0.235,29.012
5,80.26,-8,0.141,-0.254,0.233,0.244,30.062
5,80.26,-9,0.158,-0.287,0.304,0.296,36.481
5,80.26,-10,0.176,-0.304,0.33,0.317,39.136
5,80.26,-11,0.194,-0.33,0.341,0.336,41.420
5,80.26,-12,0.213,-0.365,0.366,0.366,45.123
5,80.26,-13,0.231,-0.386,0.392,0.389,48.025
5,80.26,-14,0.249,-0.407,0.421,0.414,51.111
5,80.26,-15,0.268,-0.39,0.466,0.428,52.840
